country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LTU,1956,1,interm,1,61,166.09,0,0,0,0,0,0.35,0.87,1.02,0.94,2.7,4.73,10.35,11.17,25.07,23.84,25.18,23.65,18.25,17.96,.,.,.,.,.,.
LTU,1956,1,interm,1,62,17.65,0,0,0,0,0,0.05,0.12,0.14,0.13,0.37,0.65,1.42,1.53,2.48,2.36,2.49,2.34,1.81,1.78,.,.,.,.,.,.
LTU,1956,1,interm,1,63,755.25,0,0.66,0.67,1.92,2.36,1.05,2.23,3.06,2.83,7.7,13.49,25.25,27.24,124.87,118.72,125.36,117.67,90.78,89.38,.,.,.,.,.,.
LTU,1956,1,interm,1,64,32.37,0,0.02,0.02,0.07,0.09,0.29,0.96,0.97,0.89,2.11,3.69,6.6,7.12,1.79,1.7,1.8,1.69,1.3,1.28,.,.,.,.,.,.
LTU,1956,1,interm,1,65,6.57,1.79,0.42,0,0,0,0,0,0,0,0,0,0,0,0.81,0.77,0.82,0.77,0.59,0.58,.,.,.,.,.,.
LTU,1956,1,interm,1,66,968.14,495.69,44.65,7.94,5.84,1.35,4.97,1.88,4.84,4.47,9.95,17.42,34.97,37.72,55.51,52.78,55.74,52.32,40.36,39.74,.,.,.,.,.,.
LTU,1956,1,interm,1,67,31.34,21.06,1.33,0.02,0,0.02,1.12,0.01,0.03,0.03,0.08,0.14,0.95,1.03,1.03,0.98,1.04,0.97,0.75,0.74,.,.,.,.,.,.
LTU,1956,1,interm,1,68,76.06,0.81,0.09,0.01,0.02,0,0,0.44,0.09,0.08,0,0,0.28,0.3,13.84,13.16,13.9,13.05,10.07,9.91,.,.,.,.,.,.
LTU,1956,1,interm,1,69,206.19,20.01,2.98,0.95,0.44,0.74,0.18,0.58,1.6,1.44,3.26,5.42,13.66,14.74,26.68,25.37,26.37,24.65,18.87,18.27,.,.,.,.,.,.
LTU,1956,1,interm,1,70,2.12,0.05,0.01,0,0,0,0.01,0.01,0.01,0.02,0.09,0.16,0.53,0.23,0.31,0.15,0.16,0.15,0.11,0.11,.,.,.,.,.,.
LTU,1956,1,interm,1,71,2.12,0.05,0.01,0,0,0,0.01,0.01,0.01,0.02,0.09,0.16,0.53,0.23,0.31,0.15,0.16,0.15,0.11,0.11,.,.,.,.,.,.
LTU,1956,1,interm,1,72,319.52,6.33,0.79,0.13,0.06,0.46,1.12,1.86,1.3,1.17,4.83,8.58,27.66,30.14,43.48,41.93,44.23,41.56,32.13,31.76,.,.,.,.,.,.
LTU,1956,1,interm,1,73,467.8,16.6,1.78,0.41,0.32,0.74,1.55,2.57,2.11,1.99,7.46,13.22,42.14,45.85,61.85,58.5,62.27,58.51,45.23,44.7,.,.,.,.,.,.
LTU,1956,1,interm,1,74,101.96,0,0,0,0,0,2.42,1.55,2.72,2.97,4.08,6.55,13.59,14.66,10.32,9.82,10.37,9.06,6.99,6.88,.,.,.,.,.,.
LTU,1956,1,interm,1,75,53.38,6.38,0.86,0.04,0.07,0.2,0.6,0.77,0.52,0.48,1.01,1.77,3.27,3.53,4.99,6.33,6.68,6.27,4.84,4.76,.,.,.,.,.,.
LTU,1956,1,interm,1,76,187.07,69.59,6.36,0.99,1.82,1.81,2.39,2.05,2.46,2.04,2.96,5.75,11.66,12.58,14.64,10.59,11.19,11.14,8.59,8.46,.,.,.,.,.,.
LTU,1956,1,interm,1,77,17.03,0.41,0.72,0,0,0.22,0.22,0.14,0.21,0.2,0.5,0.88,1.59,1.71,1.57,1.89,2,1.88,1.45,1.43,.,.,.,.,.,.
LTU,1956,1,interm,1,78,54.78,1.63,2.39,0.02,0.05,0.74,0.75,0.43,0.72,0.67,1.49,2.61,5.01,5.4,5.11,6.08,6.42,6.03,4.65,4.58,.,.,.,.,.,.
LTU,1956,1,interm,1,79,6.92,0.34,0.33,0.01,0.03,0.1,0.1,0.04,0.1,0.1,0.21,0.36,0.61,0.66,0.63,0.72,0.76,0.71,0.55,0.54,.,.,.,.,.,.
LTU,1956,1,interm,1,80,16.94,3.77,0.11,0.37,0.67,0.03,0.03,0,0.54,0.5,0.82,1.43,0.14,0.15,1.57,1.49,1.58,1.48,1.14,1.12,.,.,.,.,.,.
LTU,1956,1,interm,1,81,48.59,1.17,0.16,0.03,0.06,0.47,0.92,1.05,0.94,0.87,1.63,2.86,5.43,5.86,5.08,4.83,5.1,4.79,3.69,3.64,.,.,.,.,.,.
LTU,1956,1,interm,1,82,29.3,13.39,1.56,0.06,0.12,0.16,0.35,0.38,0.33,0.3,0.56,1,1.89,2.04,1.32,1.26,1.33,1.28,0.99,0.98,.,.,.,.,.,.
LTU,1956,1,interm,1,83,2.51,0.49,0.27,0,0,0,0,0.71,0,0,0,0,0.39,0.42,0.06,0.04,0.04,0.04,0.03,0.03,.,.,.,.,.,.
LTU,1956,1,interm,1,84,11.52,0,0,0,0.42,0.7,0,1.43,0,0,0,0,0.78,0.84,1.36,1.31,1.39,1.3,1,0.99,.,.,.,.,.,.
LTU,1956,1,interm,1,85,65.06,0.48,0,1.93,1.81,0.89,0.45,2.16,2.68,2.48,2.07,3.62,5.7,6.15,6.49,6.17,6.51,6.11,4.72,4.64,.,.,.,.,.,.
LTU,1956,1,interm,1,86,68.96,0,0,2.85,2.67,1.31,0.66,3.19,2.8,2.58,3.1,5.42,5.61,6.05,6.12,5.82,6.15,5.77,4.45,4.38,.,.,.,.,.,.
LTU,1956,1,interm,1,87,22.12,0.54,0,0,0,0,0,0,0.92,0.85,0,0,2.17,2.34,2.87,2.73,2.88,2.7,2.08,2.05,.,.,.,.,.,.
LTU,1956,1,interm,1,88,50.61,0,0.03,0.02,0.04,0,0,0.05,0.03,0.03,0.06,0.11,0,0,9.41,8.94,9.45,8.87,6.84,6.73,.,.,.,.,.,.
LTU,1956,1,interm,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,90,433.39,433.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,91,170.27,155.47,7.55,2.19,2.05,1.01,1.02,0.98,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,92,124.32,124.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
