country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
BLR,1978,1,belarus,1,269,0,0,0,3,24,86,201,260,456,578,512,466,288,254,130,52,17,34,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,270,27,73,22,5,26,47,50,96,121,118,128,63,87,75,89,41,50,0,49,.,.,.,.,.,.
BLR,1978,1,belarus,1,271,0,0,0,24,104,298,518,648,767,786,881,791,717,546,406,363,403,541,541,.,.,.,.,.,.
BLR,1978,1,belarus,1,272,0,0,6,16,73,138,131,152,107,102,119,133,161,122,89,62,84,101,147,.,.,.,.,.,.
BLR,1978,1,belarus,1,273,0,0,3,0,9,7,17,8,28,15,21,8,13,28,16,31,17,0,49,.,.,.,.,.,.
BLR,1978,1,belarus,1,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,275,0,0,0,0,0,2,0,4,3,3,3,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,276,0,3,0,5,7,10,6,8,3,3,3,16,7,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1978,1,belarus,1,277,41,59,20,37,88,86,89,152,135,223,195,219,174,141,154,207,117,34,49,.,.,.,.,.,.
BLR,1979,1,belarus,1,0,23701,1156,570,551,1180,2278,2907,3852,5577,7364,9765,13147,18279,26053,39072,57330,84256,128987,195776,.,.,.,.,.,.
BLR,1979,1,belarus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,34,145,.,.,.,.,.,.
BLR,1979,1,belarus,1,4,93,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,16,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,7,240,7,0,0,0,0,0,0,0,3,3,0,0,10,8,0,16,0,0,.,.,.,.,.,.
BLR,1979,1,belarus,1,8,93,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,.,.,.,.,.,.
